"文件名","英文名称","中文说明","Unicode","分类","来源模块"
"speaker.svg","speaker","音量","U+F0044","系统UI","华为音乐"
"speaker_slash.svg","speaker_slash","拍摄静音","U+F0043","系统UI","相机"
"speaker_wave_3.svg","speaker_wave_3","检测项_扬声器 ","U+F004A","系统UI","DFS"
"speaker_wave_3_slash.svg","speaker_wave_3_slash","关闭声音","U+F058F","系统UI","图库"
"square.svg","square","方形","U+F0075","形状","截录屏"
"square_and_pencil.svg","square_and_pencil","编辑","U+F0073","编辑","图库"
"square_and_pencil_fill.svg","square_and_pencil_fill","重命名相册","U+F0074","编辑","图库"
"square_fill_grid_2x2.svg","square_fill_grid_2x2","分类相册","U+F004B","系统UI","图库"
"square_grid_2x2.svg","square_grid_2x2","检测项_应用 ","U+F00E3","系统UI","DFS"
"square_slash.svg","square_slash","无边框","U+F04B4","相机与照片","图库"
"star.svg","star","获赞与收藏","U+F004E","系统UI","应用市场"
"star_fill.svg","star_fill","ic_favourites_filled","U+F0009","系统UI","备忘录"
"staroflife_rectangle.svg","staroflife_rectangle","密码登录","U+F04F8","隐私&安全","SDK"
"stopwatch_2.svg","stopwatch_2","秒表","U+F05F0","时间","时钟"
"sun_max.svg","sun_max","曝光","U+F0050","系统UI","相机"
"sun_max_fill.svg","sun_max_fill","主题-选中态-黄","U+F004F","系统UI","华为阅读"
"sun_min.svg","sun_min","主题-light","U+F0051","系统UI","华为阅读"
"swap.svg","swap","列表-排序","U+F02D1","编辑","华为音乐"
"swipeup_input.svg","swipeup_input","上滑输入","U+F031E","键盘","输入法"
"template.svg","template","热剧","U+F04FF","相机与照片","华为视频"
"template_fill.svg","template_fill","视频","U+F04FE","相机与照片","天际通"
"text_aligncenter.svg","text_aligncenter","居中对齐","U+F0076","编辑","备忘录"
"text_alignleft.svg","text_alignleft","左对齐","U+F0077","编辑","备忘录"
"text_alignright.svg","text_alignright","右对齐","U+F0078","编辑","备忘录"
"text_and_arrow_down.svg","text_and_arrow_down","列表-倒序","U+F0079","编辑","华为音乐"
"text_and_arrow_up.svg","text_and_arrow_up","列表-正序","U+F007A","编辑","华为音乐"
"text_clipboard.svg","text_clipboard","设置","U+F019D","办公文件","隐私和安全"
"textformat_size_square.svg","textformat_size_square","字体大小","U+F007C","编辑","输入法"
"timer.svg","timer","定时拍摄","U+F0406","时间","相机"
"timer_circle_fill.svg","timer_circle_fill","计时器","U+F05F6","时间","时钟"
"touchid.svg","touchid","小指纹","U+F0507","隐私&安全","锁屏AOD"
"traditional_square.svg","traditional_square","繁体输入","U+F0322","键盘","输入法"
"transfer_station.svg","transfer_station","中转站","U+F0788","箭头","中转站"
"translate.svg","translate","hitouch全屏翻译","U+F007E","键盘","hivison/hitouch"
"translate_c2e.svg","translate_c2e","ic_translate_c2e","U+F0323","键盘","邮件"
"translate_e2c.svg","translate_e2c","ic_translate_e2c","U+F0324","键盘","邮件"
"transparency_lock.svg","transparency_lock","透明度锁定","U+F0639","编辑","绘画"
"trapezoid_and_line_horizontal.svg","trapezoid_and_line_horizontal","水平校正","U+F016A","编辑","图库"
"trapezoid_and_line_vertical.svg","trapezoid_and_line_vertical","垂直校正","U+F016B","编辑","图库"
"trash.svg","trash","删除","U+F0001","系统UI","全搜"
"trash_fill.svg","trash_fill","删除相册","U+F0052","系统UI","图库"
"triangleshape_fill.svg","triangleshape_fill","稳定性","U+F036B","编辑","绘画"
"undo.svg","undo","撤销","U+F01F3","系统UI / 箭头","图库"
"vertical_flip.svg","vertical_flip","垂直翻转","U+F063B","编辑","绘画"
"video_fill.svg","video_fill","视频","U+F00A3","相机与照片","图库"
"video_slasj_fill.svg","video_slasj_fill","关闭摄像头","U+F0841","相机与照片","通信社交"
"vpn_key.svg","vpn_key","VPN","U+F078F","隐私&安全","状态栏"
"wifi.svg","wifi","检测项_WLAN ","U+F0000","系统UI / 连接","DFS"
"wifi_slash.svg","wifi_slash","WLAN 关闭","U+F0691","系统UI / 连接","桌面"
"worldclock.svg","worldclock","语言切换","U+F040A","时间","输入法"
"worldclock_fill.svg","worldclock_fill","震中经纬度","U+F0409","时间","通信社交"
"worldclock_fill_2.svg","worldclock_fill_2","世界时钟","U+F05F1","时间","时钟"
"xmark.svg","xmark","退出","U+F0056","系统UI","图库"
"xmark_circle.svg","xmark_circle","关闭","U+F0055","系统UI","输入法"
"xmark_circle_fill.svg","xmark_circle_fill","取消","U+F0054","系统UI","图库"
"xmark_picture.svg","xmark_picture","开启智能无图","U+F0842","相机与照片","浏览器"
"xmark_picture_fill.svg","xmark_picture_fill","关闭智能无图","U+F0821","相机与照片","浏览器"
